JournalID,EntryDate,GLAccount,Description,Amount,Currency,UserID,EntryType,BusinessUnit,EffectiveDate,Flag_RoundNumber,Flag_Weekend,Flag_AfterHours,Count of JournalID,Flag_Duplicate ,RiskScore
JE000001,24-11-2023 03:01,2001-AP,Intercompany Transfer,96561.65,CAD,admin,Auto,Operations,24-11-2023 03:01,0,0,1,1,0,1
JE000002,21-05-2023 07:14,5001-COGS,Accrual,46491.08,USD,admin,Auto,IT,21-05-2023 07:14,0,1,0,1,0,1
JE000003,13-03-2023 23:06,1001-Cash,Adjustment,65096.71,USD,admin,Auto,Sales,13-03-2023 23:06,0,0,1,1,0,1
JE000004,13-12-2023 23:57,5001-COGS,Vendor Payment,60850.7,INR,p.iyer,Auto,Finance,13-12-2023 23:57,0,0,1,1,0,1
JE000005,07-10-2023 02:37,2001-AP,Vendor Payment,27223.59,CAD,admin,Manual,IT,07-10-2023 02:37,0,1,1,1,0,2
JE000006,05-08-2023 01:01,5001-COGS,Adjustment,34766.86,USD,p.iyer,Manual,Sales,05-08-2023 01:01,0,1,1,1,0,2
JE000007,20-02-2023 22:43,3001-Equity,Customer Receipt,75435.72,USD,m.khan,Auto,Finance,17-02-2023 06:14,0,0,1,1,0,1
JE000008,16-09-2023 19:01,1001-Cash,Accrual,47640.31,USD,a.mehta,Manual,HR,16-09-2023 19:01,0,1,0,1,0,1
JE000009,25-06-2023 01:16,5001-COGS,Reversal,44410.2,INR,s.roy,Manual,Operations,15-10-2023 06:45,0,1,1,1,0,2
JE000010,29-11-2023 22:34,5001-COGS,Adjustment,71982.6,INR,p.iyer,Manual,Operations,29-11-2023 22:34,0,0,1,1,0,1
JE000011,03-08-2023 07:28,7001-Tax,Customer Receipt,51810.04,CAD,m.khan,Manual,HR,03-08-2023 07:28,0,0,0,1,0,0
JE000012,29-10-2023 08:51,7001-Tax,Intercompany Transfer,50663.17,INR,s.roy,Auto,Finance,29-10-2023 08:51,0,1,0,1,0,1
JE000013,04-01-2023 05:44,3001-Equity,Reversal,54888.14,USD,admin,Auto,IT,04-01-2023 05:44,0,0,1,1,0,1
JE000014,05-08-2023 10:17,6001-OpEx,Vendor Payment,46613.01,USD,a.mehta,Manual,Finance,05-08-2023 10:17,0,1,0,1,0,1
JE000015,21-03-2023 06:48,4001-Revenue,Adjustment,12643.87,USD,a.mehta,Auto,Sales,21-03-2023 06:48,0,0,0,1,0,0
JE000016,22-06-2023 03:05,2001-AP,Customer Receipt,69655.01,CAD,m.khan,Auto,Operations,22-06-2023 03:05,0,0,1,1,0,1
JE000017,14-07-2023 03:22,7001-Tax,Accrual,57674.1,CAD,u.sharma,Manual,HR,14-07-2023 03:22,0,0,1,1,0,1
JE000018,26-06-2023 19:16,3001-Equity,Depreciation,40231.05,USD,a.mehta,Manual,HR,26-06-2023 19:16,0,0,0,1,0,0
JE000019,23-01-2023 23:29,7001-Tax,Reversal,16624.6,INR,u.sharma,Auto,Operations,23-01-2023 23:29,0,0,1,1,0,1
JE000020,02-10-2023 03:59,5001-COGS,Adjustment,77715.46,CAD,u.sharma,Manual,Sales,02-10-2023 03:59,0,0,1,1,0,1
JE000021,13-07-2023 02:35,7001-Tax,Accrual,19787.94,CAD,m.khan,Auto,Sales,13-07-2023 02:35,0,0,1,1,0,1
JE000022,31-05-2023 20:39,2001-AP,Depreciation,97533.97,USD,m.khan,Auto,Operations,31-05-2023 20:39,0,0,1,1,0,1
JE000023,05-07-2023 18:12,3001-Equity,Vendor Payment,86092.17,INR,p.iyer,Manual,Finance,05-07-2023 18:12,0,0,0,1,0,0
JE000024,27-12-2023 02:02,1200-AR,Vendor Payment,7375.02,CAD,a.mehta,Manual,Finance,27-12-2023 02:02,0,0,1,1,0,1
JE000025,05-12-2023 07:49,6001-OpEx,Adjustment,46848.14,CAD,a.mehta,Manual,IT,05-12-2023 07:49,0,0,0,1,0,0
JE000026,29-05-2023 02:54,1200-AR,Depreciation,56995.22,USD,p.iyer,Manual,Operations,29-05-2023 02:54,0,0,1,1,0,1
JE000027,30-04-2023 03:24,2001-AP,Accrual,87668.48,CAD,s.roy,Manual,Finance,30-04-2023 03:24,0,1,1,1,0,2
JE000028,23-05-2023 14:40,2001-AP,Intercompany Transfer,47717.24,USD,a.mehta,Manual,IT,23-05-2023 14:40,0,0,0,1,0,0
JE000029,06-07-2023 05:23,1200-AR,Customer Receipt,5663.33,INR,admin,Manual,Sales,06-07-2023 05:23,0,0,1,1,0,1
JE000030,01-07-2023 06:42,3001-Equity,Vendor Payment,67923.15,CAD,r.das,Auto,Sales,01-07-2023 06:42,0,1,0,1,0,1
JE014485,17-05-2023 22:59,5001-COGS,Vendor Payment,15784.54,USD,a.mehta,Auto,IT,17-05-2023 22:59,0,0,1,2,1,2
JE000032,16-12-2023 20:04,1200-AR,Depreciation,50000,USD,r.das,Manual,Operations,16-12-2023 20:04,1,1,1,1,0,3
JE000033,03-06-2023 04:44,1200-AR,Adjustment,53484.17,INR,s.roy,Auto,IT,08-11-2023 20:10,0,1,1,1,0,2
JE000034,01-10-2023 23:15,1200-AR,Vendor Payment,25912.92,INR,a.mehta,Auto,IT,01-10-2023 23:15,0,1,1,1,0,2
JE000035,25-03-2023 14:24,3001-Equity,Adjustment,93189.03,USD,u.sharma,Manual,IT,25-03-2023 14:24,0,1,0,1,0,1
JE000036,11-03-2023 17:38,3001-Equity,Vendor Payment,54306.85,INR,s.roy,Manual,Operations,19-05-2023 20:44,0,1,0,1,0,1
JE000037,13-10-2023 07:43,1001-Cash,Accrual,68502.89,CAD,a.mehta,Manual,Finance,13-10-2023 07:43,0,0,0,1,0,0
JE000038,16-06-2023 01:14,1200-AR,Adjustment,45330.15,USD,u.sharma,Auto,Sales,16-06-2023 01:14,0,0,1,1,0,1
JE000039,17-01-2023 10:25,1001-Cash,Intercompany Transfer,47134.18,CAD,p.iyer,Manual,Operations,17-01-2023 10:25,0,0,0,1,0,0
JE000040,18-05-2023 02:13,7001-Tax,Adjustment,45826.48,USD,a.mehta,Manual,Finance,18-05-2023 02:13,0,0,1,1,0,1
JE000041,18-10-2023 22:20,5001-COGS,Customer Receipt,57215.79,INR,s.roy,Auto,Operations,18-10-2023 22:20,0,0,1,1,0,1
JE000042,19-04-2023 20:31,3001-Equity,Accrual,52722.56,INR,r.das,Auto,HR,19-04-2023 20:31,0,0,1,1,0,1
JE000043,20-05-2023 13:20,5001-COGS,Reversal,40344.93,USD,m.khan,Auto,HR,22-07-2023 20:29,0,1,0,1,0,1
JE000044,05-08-2023 09:39,1001-Cash,Intercompany Transfer,25203.28,CAD,m.khan,Auto,Operations,15-03-2023 08:08,0,1,0,1,0,1
JE000045,07-05-2023 23:35,2001-AP,Vendor Payment,48707.67,INR,r.das,Auto,HR,07-05-2023 23:35,0,1,1,1,0,2
JE000046,03-10-2023 08:47,4001-Revenue,Payroll,53902.4,INR,a.mehta,Manual,Finance,03-10-2023 08:47,0,0,0,1,0,0
JE000047,27-10-2023 13:57,6001-OpEx,Intercompany Transfer,75475.22,CAD,admin,Auto,IT,27-10-2023 13:57,0,0,0,1,0,0
JE000048,26-10-2023 12:23,4001-Revenue,Payroll,55714.85,USD,m.khan,Manual,Sales,26-10-2023 12:23,0,0,0,1,0,0
JE000049,23-04-2023 04:32,4001-Revenue,Payroll,27071.72,INR,u.sharma,Manual,IT,23-04-2023 04:32,0,1,1,1,0,2
JE000050,10-09-2023 02:48,1200-AR,Vendor Payment,59694.33,INR,u.sharma,Auto,HR,10-09-2023 02:48,0,1,1,1,0,2
JE000051,25-01-2023 03:09,2001-AP,Adjustment,44557.5,CAD,m.khan,Manual,Sales,25-01-2023 03:09,0,0,1,1,0,1
JE000052,18-11-2023 05:50,3001-Equity,Adjustment,62987.22,CAD,m.khan,Manual,IT,18-11-2023 05:50,0,1,1,1,0,2
JE000053,15-12-2023 13:38,2001-AP,Vendor Payment,53432.04,USD,admin,Auto,Sales,15-12-2023 13:38,0,0,0,1,0,0
JE000054,02-02-2023 12:24,2001-AP,Accrual,76568.79,INR,a.mehta,Manual,Finance,02-02-2023 12:24,0,0,0,1,0,0
