JournalID,EntryDate,GLAccount,Description,Amount,Currency,UserID,EntryType,BusinessUnit,EffectiveDate
JE000001,2023-11-24 03:01:00,2001-AP,Intercompany Transfer,96561.65,CAD,admin,Auto,Operations,2023-11-24 03:01:00
JE000002,2023-05-21 07:14:00,5001-COGS,Accrual,46491.08,USD,admin,Auto,IT,2023-05-21 07:14:00
JE000003,2023-03-13 23:06:00,1001-Cash,Adjustment,65096.71,USD,admin,Auto,Sales,2023-03-13 23:06:00
JE000004,2023-12-13 23:57:00,5001-COGS,Vendor Payment,60850.7,INR,p.iyer,Auto,Finance,2023-12-13 23:57:00
JE000005,2023-10-07 02:37:00,2001-AP,Vendor Payment,27223.59,CAD,admin,Manual,IT,2023-10-07 02:37:00
JE000006,2023-08-05 01:01:00,5001-COGS,Adjustment,34766.86,USD,p.iyer,Manual,Sales,2023-08-05 01:01:00
JE000007,2023-02-20 22:43:00,3001-Equity,Customer Receipt,75435.72,USD,m.khan,Auto,Finance,2023-02-17 06:14:00
JE000008,2023-09-16 19:01:00,1001-Cash,Accrual,47640.31,USD,a.mehta,Manual,HR,2023-09-16 19:01:00
JE000009,2023-06-25 01:16:00,5001-COGS,Reversal,44410.2,INR,s.roy,Manual,Operations,2023-10-15 06:45:00
JE000010,2023-11-29 22:34:00,5001-COGS,Adjustment,71982.6,INR,p.iyer,Manual,Operations,2023-11-29 22:34:00
JE000011,2023-08-03 07:28:00,7001-Tax,Customer Receipt,51810.04,CAD,m.khan,Manual,HR,2023-08-03 07:28:00
JE000012,2023-10-29 08:51:00,7001-Tax,Intercompany Transfer,50663.17,INR,s.roy,Auto,Finance,2023-10-29 08:51:00
JE000013,2023-01-04 05:44:00,3001-Equity,Reversal,54888.14,USD,admin,Auto,IT,2023-01-04 05:44:00
JE000014,2023-08-05 10:17:00,6001-OpEx,Vendor Payment,46613.01,USD,a.mehta,Manual,Finance,2023-08-05 10:17:00
JE000015,2023-03-21 06:48:00,4001-Revenue,Adjustment,12643.87,USD,a.mehta,Auto,Sales,2023-03-21 06:48:00
JE000016,2023-06-22 03:05:00,2001-AP,Customer Receipt,69655.01,CAD,m.khan,Auto,Operations,2023-06-22 03:05:00
JE000017,2023-07-14 03:22:00,7001-Tax,Accrual,57674.1,CAD,u.sharma,Manual,HR,2023-07-14 03:22:00
JE000018,2023-06-26 19:16:00,3001-Equity,Depreciation,40231.05,USD,a.mehta,Manual,HR,2023-06-26 19:16:00
JE000019,2023-01-23 23:29:00,7001-Tax,Reversal,16624.6,INR,u.sharma,Auto,Operations,2023-01-23 23:29:00
JE000020,2023-10-02 03:59:00,5001-COGS,Adjustment,77715.46,CAD,u.sharma,Manual,Sales,2023-10-02 03:59:00
JE000021,2023-07-13 02:35:00,7001-Tax,Accrual,19787.94,CAD,m.khan,Auto,Sales,2023-07-13 02:35:00
JE000022,2023-05-31 20:39:00,2001-AP,Depreciation,97533.97,USD,m.khan,Auto,Operations,2023-05-31 20:39:00
JE000023,2023-07-05 18:12:00,3001-Equity,Vendor Payment,86092.17,INR,p.iyer,Manual,Finance,2023-07-05 18:12:00
JE000024,2023-12-27 02:02:00,1200-AR,Vendor Payment,7375.02,CAD,a.mehta,Manual,Finance,2023-12-27 02:02:00
JE000025,2023-12-05 07:49:00,6001-OpEx,Adjustment,46848.14,CAD,a.mehta,Manual,IT,2023-12-05 07:49:00
JE000026,2023-05-29 02:54:00,1200-AR,Depreciation,56995.22,USD,p.iyer,Manual,Operations,2023-05-29 02:54:00
